"","id","nome","rua","bairro","atividade","datum","utm_e","utm_n","ano","classif","reutiliza","etapa_gere","etapa_ge_1","fonte_cont","meios_impa","contaminan","med_emerge","med_instit","med_remedi","med_engenh","data_inser","usuario"
"243",137,"POSTO E RESTAURANTE 3 VIAS LTDA","VIA ANHANGUERA KM 105","NOVA APARECIDA - CAMPINAS","Posto de Combustível|","WGS84",279276.41,7470794.17,"2012","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia|",NA,"armazenagem|","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#|","combustíveis líquidos|solventes aromáticos|PAHs|","monitoramento ambiental|","uso água subterrânea#implantada#|uso água subterrânea#comunicada#|","recuperação fase livre|",NA,"2013/11/26 16:54:29.467","1008188"
"244",138,"SHELL BRASIL LTDA","AEROPORTO INTERNACIONAL DE VIRACOPOS S/N","VIRACOPOS - CAMPINAS","Posto de Combustível|","WGS84",280240.24,7453057.27,"2012","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia|",NA,"armazenagem|","subsolo#dentro#|águas subterrâneas#dentro#|","combustíveis líquidos|metais|solventes aromáticos|PAHs|existência de fase livre|","monitoramento ambiental|","uso água subterrânea#proposta#|uso água subterrânea#comunicada#|","extração multifásica|",NA,"2013/11/28 15:15:11.623","1008188"
"245",139,"SINGER DO BRASIL INDUSTRIA E COMERCIO LTDA","RODOVIA SANTOS DUMONT KM 68 SP 750","VIRACOPOS - CAMPINAS","Indústria|","SAD69",283794.57,7453406.18,"2012","Contaminada","N",NA,"investigação detalhada|avaliação de risco/gerenciamento de risco|concepção da remediação|investigação confirmatória|remediação com monitoramento da eficiência e eficácia|","armazenagem|","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#|","metais|solventes halogenados|outros|","monitoramento ambiental|remoção de materiais (produtos, resíduos, etc.)|",NA,"bombeamento e tratamento|extração multifásica|oxidação/redução química|remoção de solo/resíduo|recuperação fase livre|",NA,"2013/11/28 15:19:43.326","1008188"
"246",60,"AUTO POSTO MESQUITA LTDA","AV. JULIO DE MESQUITA 990","CAMBUI - CAMPINAS","Posto de Combustível","WGS84",289084.04,7466402.26,"2012","Contaminada sob investigação","N","investigação confirmatória",NA,"infiltração","águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,"uso água subterrânea#proposta#|uso água subterrânea#comunicada#",NA,NA,"2013/11/26 14:40:31.238","1008188"
"247",3,"ASHLAND RESINAS LTDA","RODOVIA ANHANGUERA KM 103 S/N","NOVA APARECIDA - CAMPINAS","Indústria|","SAD69",280481,7470334,"2012","Contaminada","N",NA,"investigação detalhada|avaliação de risco/gerenciamento de risco|concepção da remediação|investigação confirmatória|remediação com monitoramento da eficiência e eficácia|","produção|tratamento de efluentes|descarte disposição|","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#|","metais|solventes halogenados|solventes aromáticos|outros|","monitoramento ambiental|remoção de materiais (produtos, resíduos, etc.)|","uso água subterrânea#proposta#|","bombeamento e tratamento|remoção de solo/resíduo|",NA,"2013/11/25 16:41:30.000","1008188"
"248",81,"AUTO POSTO DA LAGOA LTDA","AV. HEITOR PENTEADO 120","TAQUARAL - CAMPINAS","Posto de Combustível|","Córrego Alegre",288302.36,7468199.36,"2012","Contaminada sob investigação","N","investigação confirmatória|",NA,"armazenagem|","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#|","combustíveis líquidos|","monitoramento ambiental|",NA,NA,NA,"2013/11/26 14:21:06.158","1008188"
"249",140,"AMSTERDAN EMPREENDIMENTOS IMOBILIARIOS SPE LTDA","AV. IMPERATRIZ LEOPALDINA 555","VILA NOVA - CAMPINAS","Indústria|","SAD69",287499.11,7468179.32,"2012","Reabilitada","S",NA,"avaliação preliminar|investigação detalhada|avaliação de risco/gerenciamento de risco|projeto de remediação|monitoramento para encerramento|investigação confirmatória|remediação com monitoramento da eficiência e eficácia|","armazenagem|manutenção|","águas subterrâneas#dentro#|","metais|solventes halogenados|solventes aromáticos|PAHs|",NA,"uso água subterrânea#proposta#|",NA,NA,"2013/11/25 16:35:12.000","1008188"
"250",2,"ALMEIDA & L. OLIVEIRA DE COMBUSTIVEIS LTDA","AVENIDA JOHN BOYD DUNLOP 460","CHACARA DA REPÚBLICA -CAMPINAS","Posto de Combustível","WGS84",284957.19,7464876.2,"2013","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|existência de fase livre",NA,"uso de solo#comunicada#|uso água subterrânea#comunicada#",NA,NA,"2013/11/25 16:28:30.000","1008188"
"251",4,"AUTO POSTO CONCEIÇÃO","RUA IRMÃ SERAFINA 811","CENTRO - CAMPINAS","Posto de Combustível","WGS84",289063.97,7465565.78,"2013","Em processo de monitoramento para encerramento","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem|desconhecida","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,"uso água subterrânea#proposta#","atenuação natural monitorada",NA,"2013/11/25 16:59:38.580","1008188"
"252",103,"ANDREA SANTINI REGO","AV. BRASIL 33","GUANABARA - CAMPINAS","Posto de Combustível","SAD69",288649.75,7466824.19,"2013","Contaminada sob investigação","S","investigação confirmatória",NA,"armazenagem","águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/25 16:36:54.514","1008188"
