"","id","nome","rua","bairro","atividade","datum","utm_e","utm_n","ano","classif","reutiliza","etapa_gere","etapa_ge_1","fonte_cont","meios_impa","contaminan","med_emerge","med_instit","med_remedi","med_engenh","data_inser","usuario"
"1",1,"AUTO POSTO PRINCESA D'OESTE LTDA","AV. PRINCESA D'OESTE 1579","JARDIM PROENÇA","Posto de Combustível|","WGS84",290247.19,7465000,"2011","Contaminada sob investigação","N","investigação confirmatória|",NA,"armazenagem|","águas subterrâneas#dentro#|","combustíveis líquidos|solventes aromáticos|",NA,"uso água subterrânea#proposta#|","extração multifásica|",NA,"2013/11/26 14:53:01.367","1008188"
"2",2,"ALMEIDA & L. OLIVEIRA DE COMBUSTIVEIS LTDA","AVENIDA JOHN BOYD DUNLOP 460","CHACARA DA REPÚBLICA -CAMPINAS","Posto de Combustível","WGS84",284957.19,7464876.2,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|existência de fase livre",NA,"uso de solo#comunicada#|uso água subterrânea#comunicada#",NA,NA,"2013/11/25 16:28:30.049","1008188"
"3",3,"ASHLAND RESINAS LTDA","RODOVIA ANHANGUERA KM 103 S/N","NOVA APARECIDA - CAMPINAS","Indústria","SAD69",280481,7470334,"2011","Contaminada","N",NA,"investigação confirmatória|investigação detalhada|avaliação de risco/gerenciamento de risco|concepção da remediação|remediação com monitoramento da eficiência e eficácia","descarte disposição|produção|tratamento de efluentes","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","metais|solventes halogenados|solventes aromáticos|outros","monitoramento ambiental|remoção de materiais (produtos, resíduos, etc.)","uso água subterrânea#proposta#","bombeamento e tratamento|remoção de solo/resíduo",NA,"2013/11/25 16:41:30.702","1008188"
"4",4,"AUTO POSTO CONCEIÇÃO","RUA IRMÃ SERAFINA 811","CENTRO - CAMPINAS","Posto de Combustível","WGS84",289063.97,7465565.78,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem|desconhecida","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,"uso água subterrânea#proposta#",NA,NA,"2013/11/25 16:59:38.580","1008188"
"5",5,"AUTO POSTO ESKINÃO LTDA","AVENIDA MORAES SALES 940","CENTRO - CAMPINAS","Posto de Combustível","WGS84",289168.59,7465364.52,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos","fechamento/interdição de poços de abastecimento","uso água subterrânea#comunicada#","bombeamento e tratamento",NA,"2013/11/26 14:23:22.616","1008188"
"6",6,"AUTO POSTO JARDIM EULINA LTDA","AV. PAPA JOÃO XXIII 535","JARDIM EULINA - CAMPINAS","Posto de Combustível","WGS84",284035.06,7466975.86,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|PAHs","monitoramento ambiental","uso água subterrânea#comunicada#",NA,NA,"2013/11/26 14:27:09.933","1008188"
"7",7,"AUTO POSTO JP LTDA","RUA BENJAMIM CONSTANT 1335","CENTRO - CAMPINAS","Posto de Combustível","SAD69",288827.65,7465903.83,"2011","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos|PAHs",NA,NA,"bombeamento e tratamento|extração multifásica|biorremediação",NA,"2013/11/26 14:29:02.378","1008188"
"8",8,"AUTO POSTO LM DE CAMPINAS LTDA","RODOVIA DOM PEDRO I S/N SP 065 - KM 140,9","CEASA - CAMPINAS","Posto de Combustível","SAD69",284703.66,7471865.19,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs|existência de fase livre",NA,NA,NA,NA,"2013/11/26 14:34:02.120","1008188"
"9",9,"AUTO POSTO VIRACOPOS DE CAMPINAS LTDA","AEROPORTO VIRACOPOS 0","AEROPORTO - CAMPINAS","Posto de Combustível","WGS84",280394,7453889,"2011","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos|existência de fase livre",NA,NA,"bombeamento e tratamento",NA,"2013/11/26 15:10:43.437","1008188"
"10",10,"HELIO VALDIVIA","AV. ANCHIETA 265","CENTRO - CAMPINAS","Posto de Combustível|","WGS84",288864.12,7466001.49,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção|",NA,"armazenagem|infiltração|","águas subterrâneas#dentro#|","combustíveis líquidos|solventes aromáticos|",NA,NA,"atenuação natural monitorada|",NA,"2013/11/26 16:13:14.757","1008188"
"11",11,"FERROBAN - FERROVIAS BANDEIRANTES SA","RUA DOUTOR SALLES DE OLIVEIRA 1380","VILA INDUSTRIAL - CAMPINAS","Resíduo","Córrego Alegre",287454.1,7465034.48,"2011","Contaminada sob investigação","N",NA,"investigação confirmatória","infiltração","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|outros",NA,NA,NA,NA,"2013/11/26 15:55:50.588","1008188"
"12",12,"GUSTAVO PAZETTI","RUA BURITIZAL 258","JARDIM ITATINGA - CAMPINAS","Indústria","WGS84",283830.84,7456753.13,"2011","Contaminada sob investigação","N",NA,"investigação confirmatória","produção|infiltração","solo superficial#dentro#|águas subterrâneas#dentro#","metais|solventes halogenados",NA,NA,NA,NA,"2013/11/26 16:11:22.865","1008188"
"13",13,"ZINC-CAMP TRATAMENTO DE METAIS LTDA","RUA ZILDA CICCONE GIRALDI 136","PARQUE SÃO PAULO - CAMPINAS","Indústria","WGS84",283864.82,7456363.17,"2011","Contaminada sob investigação","N","investigação confirmatória","investigação confirmatória","armazenagem|produção","águas subterrâneas#dentro#","metais",NA,NA,NA,NA,"2013/11/28 15:34:20.363","1008188"
"14",14,"AUTO POSTO M.A.M.P LTDA","AVENIDA SENADOR SARAIVA 957","CENTRO - CAMPINAS","Posto de Combustível","SAD69",288169.26,7465734.39,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos",NA,NA,NA,NA,"2013/11/26 14:35:52.521","1008188"
"15",15,"AUTO POSTO RENAN LTDA","AV. OROZIMBO MAIA 515","VILA ITAPURA - CAMPINAS","Posto de Combustível","Córrego Alegre",288517.4,7466470.33,"2011","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos","ventilação/exaustão de espaços confinados|monitoramento do índice de explosividade|proibição de escavações",NA,"bombeamento e tratamento|extração de vapores do solo (SVE)|air sparging",NA,"2013/11/26 14:56:48.064","1008188"
"16",16,"AUTO POSTO MARIA MONTEIRO LTDA","RUA MARIA MONTEIRO 1158","CAMBUI - CAMPINAS","Posto de Combustível","WGS84",289447.61,7466736.43,"2011","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção|monitoramento para encerramento",NA,"armazenagem","águas subterrâneas#dentro#","solventes aromáticos","monitoramento ambiental",NA,NA,NA,"2013/11/26 14:37:27.593","1008188"
"17",17,"POSTO SÃO JORGE  CAMPINAS","AV. JOÃO QUIRINO 276","VILA TOTANELLO - CAMPINAS","Posto de Combustível","WGS84",291132.69,7468601.86,"2011","Contaminada","N","investigação confirmatória|monitoramento para encerramento",NA,"armazenagem",NA,"solventes aromáticos",NA,NA,NA,NA,"2013/11/28 14:51:27.606","1008188"
"18",18,"AUTO POSTO RUBIMAR LTDA","AV. RUY RODRIGUES 4570","PARQUE UNIVERSITARIO - CAMPINAS","Posto de Combustível","SAD69",280361.78,7458540.13,"2011","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos",NA,"uso de solo#comunicada#|uso água subterrânea#comunicada#",NA,NA,"2013/11/26 14:58:32.399","1008188"
"19",19,"AUTO POSTO SANTA LETICIA LTDA","AVENIDA RUY RODRIGUES 3380","CHACARA SANTA LETICIA - CAMPINAS","Posto de Combustível","WGS84",281260.96,7458943.6,"2011","Contaminada sob investigação","N",NA,NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos|PAHs",NA,"uso água subterrânea#comunicada#",NA,NA,"2013/11/26 15:00:19.497","1008188"
"20",20,"AUTO POSTO STOP LTDA","AV. FRANCISCO GLICÉRIO 735","CENTRO - CAMPINAS","Posto de Combustível","WGS84",288885.98,7465176.54,"2011","Contaminada sob investigação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","solo superficial#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,NA,NA,NA,"2013/11/26 15:07:37.863","1008188"
"21",21,"AUTO POSTO VÔ JOÃO LTDA","AV. ALBINO JOSÉ DE OLIVEIRA 2151","BARÃO GERALDO - CAMPINAS","Posto de Combustível","WGS84",286387.3,7475029.38,"2011","Contaminada sob investigação","S","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|existência de fase livre",NA,NA,NA,NA,"2013/11/26 15:12:30.057","1008188"
"22",22,"BORTOLETO BERTOLETTO & CIA LTDA","RUA ELDORADO 1338","CHACARA SÃO FRANCISCO - CAMPINAS","Posto de Combustível","SAD69",284227.34,7457105.82,"2011","Contaminada sob investigação","S","investigação confirmatória",NA,"armazenagem","solo superficial#dentro#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/26 15:19:04.158","1008188"
"23",23,"CENTRO COMERCIAL COMBUSTIVEIS DE CAMPINAS LTDA","AV. ABELARDO POMPEU DO AMARAL 316","VILA INDUSTRIAL - CAMPINAS","Posto de Combustível","WGS84",286300,7464715,"2011","Contaminada sob investigação","S","investigação confirmatória",NA,"armazenagem","solo superficial#dentro#|águas subterrâneas#dentro#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/26 15:30:53.400","1008188"
"24",24,"JOÃO BATISTA LORO","FINAL DA RUA ARMANDO DOS SANTOS S/N SÍTIO SÃO JOÃO","JARDIM MARIA ROSA - CAMPINAS","Resíduo","SAD69",283921.78,7458026.71,"2011","Contaminada sob investigação","N",NA,"investigação confirmatória","descarte disposição","subsolo#dentro#","metais","isolamento da área (proibição de acesso à area)","uso de solo#comunicada#","remoção de solo/resíduo",NA,"2013/11/26 16:24:12.414","1008188"
"25",25,"LUSAN COMERCIO DE COMBUSTIVEIS LTDA","AV. ANCHIETA 702","CENTRO - CAMPINAS","Posto de Combustível","SAD69",288882.6,7466483.39,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção|monitoramento para encerramento",NA,"armazenagem","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,NA,NA,NA,"2013/11/26 16:28:03.098","1008188"
"26",26,"POSTO E RESTAURANTE 3 VIAS LTDA","VIA ANHANGUERA KM 105","NOVA APARECIDA - CAMPINAS","Posto de Combustível","WGS84",278446.46,7471560.16,"2011","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia",NA,"armazenagem","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs","monitoramento ambiental","uso água subterrânea#comunicada#|uso água subterrânea#implantada#","recuperação fase livre",NA,"2013/11/26 16:54:29.467","1008188"
"27",27,"POSTO GARCIA DE CAMPINAS LTDA","RODOVIA ANAHANGUERA KM 99","JARDIM EULINA - CAMPINAS","Posto de Combustível","WGS84",283306.77,7467298.21,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção|monitoramento para encerramento",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs|existência de fase livre","monitoramento ambiental","uso água subterrânea#proposta#",NA,NA,"2013/11/26 16:56:20.346","1008188"
"28",28,"POSTO JOÃO JORGE LTDA","AV. JOÃO JORGE 330","VILA INDUSTRIAL - CAMPINAS","Posto de Combustível","SAD69",288384.25,7464669.42,"2011","Em processo de monitoramento para reabilitação","S","investigação confirmatória|remediação com monitoramento da eficiência e eficácia|monitoramento para encerramento",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos","monitoramento ambiental|remoção de materiais (produtos, resíduos, etc.)","uso água subterrânea#comunicada#",NA,NA,"2013/11/26 17:00:40.073","1008188"
"29",29,"POSTO JOSÉ DE SOUZA CAMPOS LTDA","AV. JOSÉ DE SOUZA CAMPOS 1320","NOVA CAMBUI - CAMPINAS","Posto de Combustível","SAD69",290059.96,7466764.62,"2011","Contaminada","S","investigação confirmatória|remediação com monitoramento da eficiência e eficácia",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|existência de fase livre","remoção de materiais (produtos, resíduos, etc.)","uso água subterrânea#comunicada#","bombeamento e tratamento|oxidação/redução química",NA,"2013/11/26 17:02:21.038","1008188"
"30",30,"MANGUINHOS QUIMICA S/A","RODOVIA ANHANGUERA KM 98,8","BOA VISTA - CAMPINAS","Indústria","Córrego Alegre",283295.65,7466925.23,"2011","Contaminada sob investigação","N",NA,"investigação confirmatória","armazenagem|infiltração","solo superficial#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|metais",NA,NA,NA,NA,"2013/11/26 16:29:44.740","1008188"
"31",31,"PASTIFÍCIO SELMI S.A","AV. MIRANDÓPOLIS 860","VILA POMPÉIA - CAMPINAS","Indústria","WGS84",285340.38,7462661.41,"2011","Reabilitada","S",NA,"investigação confirmatória|investigação detalhada","desconhecida","solo superficial#dentro#|águas subterrâneas#dentro#","metais|PAHs",NA,"uso água subterrânea#proposta#",NA,NA,"2013/11/26 16:38:52.253","1008188"
"32",32,"POSTO ANDORINHAS LTDA","AV. JOSÉ DE SOUZA CAMPOS  2101","CAMBUI - CAMPINAS","Posto de Combustível","WGS84",290230.01,7467445.93,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/26 16:42:14.057","1008188"
"33",33,"ROBERT BOSH LTDA","VIA ANAHANGUERA 0 KM 98","VILA BOA VISTA - CAMPINAS","Indústria","Córrego Alegre",283174.22,7466196.29,"2011","Contaminada sob investigação","N",NA,"investigação confirmatória|avaliação de risco/gerenciamento de risco|projeto de remediação","armazenagem|produção|infiltração","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,"uso de solo#comunicada#|uso água subterrânea#comunicada#",NA,NA,"2013/11/28 15:03:00.133","1008188"
"34",34,"POSTO DO RAFA LTDA","RUA GENERAL CARNEIRO 19","PONTE PRETA - CAMPINAS","Posto de Combustível","SAD69",289043.24,7464300.91,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|PAHs","monitoramento ambiental","uso água subterrânea#comunicada#","bombeamento e tratamento|recuperação fase livre",NA,"2013/11/26 16:52:29.419","1008188"
"35",35,"POSTO TERNI LTDA","AV. BARÃO DE MONTE ALEGRE 72","VILA TEIXEIRA - CAMPINAS","Posto de Combustível","SAD69",286304.07,7465414.48,"2011","Em processo de monitoramento para reabilitação","S","investigação confirmatória|monitoramento para encerramento",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos",NA,"uso de solo#comunicada#|uso água subterrânea#comunicada#|uso água subterrânea#implantada#",NA,NA,"2013/11/28 14:53:03.185","1008188"
"36",36,"REPSOL YPF BRASIL S.A","RUA PEDRO GIANFRANCISCO 60","PARQUE VIA NORTE - CAMPINAS","Indústria","WGS84",282613.48,7467388.08,"2011","Contaminada sob investigação","N",NA,"investigação confirmatória|investigação detalhada","produção","subsolo#dentro#|águas subterrâneas#dentro#","metais",NA,NA,NA,NA,"2013/11/28 15:01:08.040","1008188"
"37",37,"SENSATA TECHLOGIES SENSORES E CONTROLES DO BRASIL LTDA","RUA AZARIAS DE MELO 648","TAQUARAL - CAMPINAS","Indústria","Córrego Alegre",289740.55,7468102.63,"2011","Contaminada","S",NA,"avaliação preliminar|investigação confirmatória|investigação detalhada|avaliação de risco/gerenciamento de risco","produção","águas subterrâneas#dentro#","metais",NA,NA,NA,NA,"2013/11/28 15:06:54.945","1008188"
"38",38,"SERV POSTO OÁSIS LTDA","AV. BARÃO DE ITAPURA 2890","TAQUARAL - CAMPINAS","Posto de Combustível","SAD69",289176.07,7468136.13,"2011","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia",NA,"armazenagem","solo superficial#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos","monitoramento ambiental|remoção de materiais (produtos, resíduos, etc.)|fechamento/interdição de poços de abastecimento","uso de solo#comunicada#|uso água subterrânea#comunicada#","recuperação fase livre",NA,"2013/11/28 15:09:06.495","1008188"
"39",39,"SHELL BRASIL LTDA","RUA JORGE MIRANDA 150","CENTRO - CAMPINAS","Posto de Combustível","SAD69",288403.31,7465952.6,"2011","Em processo de monitoramento para reabilitação","S","investigação detalhada e plano de intervenção",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos",NA,"uso de solo#proposta#|uso água subterrânea#proposta#","bombeamento e tratamento",NA,"2013/11/28 15:12:39.938","1008188"
"40",40,"SUPER ZINCO TRATAMENTO DE METAIS COMERCIO E INDUSTRIA LTDA","RUA MARGINAL 4699","CHACARA SÃO MARTINHO - CAMPINAS","Indústria","Córrego Alegre",289900,7458400,"2011","Em processo de monitoramento para reabilitação","N",NA,"investigação confirmatória|investigação detalhada|avaliação de risco/gerenciamento de risco","produção|tratamento de efluentes","subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","metais|solventes halogenados",NA,"uso de solo#comunicada#|uso água subterrânea#comunicada#","bombeamento e tratamento",NA,"2013/11/28 15:24:10.787","1008188"
"41",41,"AUTO POSTO CHACARA DO VOVÔ LTDA","RUA PADRE GASPAR BERTONI 20","JARDIM INTERLAGOS - CAMPINAS","Posto de Combustível","WGS84",284755.6,7466137.54,"2011","Contaminada","N","investigação confirmatória",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos|existência de fase livre",NA,NA,NA,NA,"2013/11/25 16:57:43.126","1008188"
"42",42,"CENTRO AUTOMOTIVO CIDADE UNIVERSITÁRIA LTDA","AV. DOUTOR ROMEU TORTIMA 1541","BARÃO GERALDO - CAMPINAS","Posto de Combustível","SAD69",287534.3,7474633.65,"2011","Contaminada sob investigação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos","monitoramento ambiental",NA,NA,NA,"2013/11/26 15:29:24.693","1008188"
"43",43,"COMERCIAL JARDIM AURÉLIA CAMPINAS LTDA","AVENIDA JOSÉ PANCETTI 345","VILA PROUST E SOUZ - CAMPINAS","Posto de Combustível","WGS84",285027.66,7465876.24,"2011","Contaminada sob investigação","N",NA,NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/26 15:34:43.911","1008188"
"44",44,"CONCREX ENGENHARIA DE CONCRETO LTDA","RUA VITOR MEIRELLES 340","JARDIM SAMAMBAIA - CAMPINAS","Indústria","WGS84",293672.62,7462339.77,"2011","Contaminada","N",NA,"avaliação preliminar|investigação confirmatória|investigação detalhada","manutenção","águas subterrâneas#dentro#","metais",NA,NA,NA,NA,"2013/11/26 15:48:19.405","1008188"
"45",45,"GEVISA S/A","RODOVIA SP 101 TRECHO CAMPINAS MONTE MOR KM 3,8","BOA VISTA - CAMPINAS","Indústria","SAD69",279668.3,7468131.6,"2011","Contaminada","N",NA,"avaliação preliminar|investigação confirmatória|investigação detalhada|avaliação de risco/gerenciamento de risco|monitoramento para encerramento","produção","solo superficial#dentro#|águas subterrâneas#dentro#","metais|solventes halogenados|PCBs|existência de POPs","monitoramento ambiental|fechamento/interdição de poços de abastecimento","uso água subterrânea#comunicada#",NA,NA,"2013/11/26 15:57:46.359","1008188"
"46",46,"GOLDFARB 30 EMPREENDIMENTO IMOBILIARIO","RUA ROSA VELOTI 255","JARDIM NOÊMIA - CAMPINAS","Indústria","WGS84",287653.01,7460966.9,"2011","Contaminada","S",NA,"avaliação preliminar|investigação confirmatória","armazenagem|produção","subsolo#dentro#","outros",NA,"uso água subterrânea#proposta#",NA,NA,"2013/11/26 16:09:28.995","1008188"
"47",47,"GIRAFA AUTO POSTO LTDA","AV. GOVERNADOR PEDRO DE TOLEDO 2500","BONFIM - CAMPINAS","Posto de Combustível","SAD69",285245.54,7466373.12,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","solo superficial#dentro#","combustíveis líquidos|solventes aromáticos","monitoramento ambiental","uso de solo#comunicada#|uso água subterrânea#comunicada#",NA,NA,"2013/11/26 15:59:46.788","1008188"
"48",48,"J.C RACY","AV. NOSSA SENHORA DE FATIMA 1432","TAQUARAL - CAMPINAS","Posto de Combustível","SAD69",290417.78,7468649.42,"2011","Contaminada","N","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs|existência de fase livre",NA,NA,"bombeamento e tratamento|extração multifásica|recuperação fase livre",NA,"2013/11/26 16:19:41.130","1008188"
"49",49,"JARDIM NOVA EUROPA EMPREENDIMENTOS IMOBILIARIOS LTDA","RUA MAESTRO JAIME LOPES DINIZ 16","JARDIM NOVA EUROPA - CAMPINAS","Posto de Combustível","WGS84",288996.65,7461455.79,"2011","Contaminada","S","investigação confirmatória|investigação detalhada e plano de intervenção|remediação com monitoramento da eficiência e eficácia",NA,"armazenagem","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|PAHs|existência de fase livre",NA,"uso água subterrânea#proposta#","bombeamento e tratamento",NA,"2013/11/26 16:22:10.625","1008188"
"50",50,"POSTO AVENIDA SHOPPING LTDA","AV. JOSÉ BONEFACIO 1237","JARDIM FLAMBOYANT - CAMPINAS","Posto de Combustível","WGS84",291531.94,7467320.14,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","solo superficial#dentro#|subsolo#dentro#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/26 16:45:32.539","1008188"
"51",51,"POSTO DE SERVIÇOS NOVO CHAPADÃO LTDA","RUA DOUTOR FRANCISCO MAIS 650","JARDIM CHAPADÃO - CAMPINAS","Posto de Combustível","SAD69",285599.77,7466888.76,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,NA,NA,NA,"2013/11/26 16:50:51.586","1008188"
"52",52,"SINGER DO BRASIL INDUSTRIA E COMERCIO LTDA","RODOVIA SANTOS DUMONT KM 68 SP 750","VIRACOPOS - CAMPINAS","Indústria","SAD69",283298.05,7453419.27,"2011","Contaminada","N",NA,"investigação confirmatória|investigação detalhada|avaliação de risco/gerenciamento de risco|concepção da remediação|remediação com monitoramento da eficiência e eficácia","armazenagem","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","metais|solventes halogenados|outros","monitoramento ambiental|remoção de materiais (produtos, resíduos, etc.)",NA,"bombeamento e tratamento|extração multifásica|oxidação/redução química|remoção de solo/resíduo|recuperação fase livre",NA,"2013/11/28 15:19:43.326","1008188"
"53",53,"VALEO SISTEMAS AUTOMOTIVOS LTDA - DIVISÃO EMBREAGENS","RODOVIA SANTOS DUMONT S/N KM 63,5","HELVÉTIA - CAMPINAS","Indústria","WGS84",281220.97,7450010.14,"2011","Contaminada sob investigação","N",NA,"investigação confirmatória","armazenagem|tratamento de efluentes","águas subterrâneas#dentro#","metais|fenóis","monitoramento ambiental","uso água subterrânea#implantada#",NA,NA,"2013/11/28 15:27:58.101","1008188"
"54",54,"VB TRANSPORTES E TURISMO LTDA","RUA ANTONIO MENAS FILHO 264","JARDIM MERCEDES - CAMPINAS","Posto de Combustível","SAD69",280349.87,7458746.99,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/28 15:29:29.899","1008188"
"55",55,"POSTO BRASIL 2000 LTDA","AVENIDA BRASIL 1980","VILA NOVA - CAMPINAS","Posto de Combustível","WGS84",287359.15,7468207.28,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos",NA,NA,NA,NA,"2013/11/26 16:49:16.415","1008188"
"56",56,"AUTO POSTO NENINHA BEMBA LTDA","AV. DAS AMOREIRAS 2030","PARQUE INDUSTRIAL - CAMPINAS","Posto de Combustível","WGS84",286645.73,7463391.85,"2011","Em processo de monitoramento para reabilitação","N","investigação confirmatória|investigação detalhada e plano de intervenção",NA,"armazenagem","subsolo#dentro#|águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos|solventes aromáticos","monitoramento ambiental","uso água subterrânea#comunicada#","biorremediação",NA,"2013/11/26 14:44:21.477","1008188"
"57",57,"AUTO POSTO PARQUE INDUSTRIAL LTDA","RUA PADRE JOSÉ QUADROS 351","PARQUE INDUSTRIAL - CAMPINAS","Posto de Combustível","WGS84",286344.63,7463154.43,"2011","Contaminada sob investigação","S","investigação confirmatória",NA,"armazenagem","águas subterrâneas#dentro#|águas subterrâneas#fora#","combustíveis líquidos",NA,"uso água subterrânea#comunicada#",NA,NA,"2013/11/26 14:46:25.493","1008188"
"58",58,"AUTO POSTO VALUM MARTINS LTDA","RUA ALBERTO FARIA 23","GUANABARA - CAMPINAS","Posto de Combustível","WGS84",288173.32,7467319.18,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","águas subterrâneas#dentro#","combustíveis líquidos","monitoramento ambiental","uso água subterrânea#comunicada#",NA,NA,"2013/11/26 15:08:58.795","1008188"
"59",59,"AUTO POSTO MARROHE LTDA","AVENIDA DOUTOR ALBERTO SARMENTO 624","BONFIM - CAMPINAS","Posto de Combustível","WGS84",286759.46,7466626.23,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"armazenagem","solo superficial#dentro#|subsolo#dentro#|águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,NA,NA,NA,"2013/11/26 14:39:03.196","1008188"
"60",60,"AUTO POSTO MESQUITA LTDA","AV. JULIO DE MESQUITA 990","CAMBUI - CAMPINAS","Posto de Combustível","WGS84",289084.04,7466402.26,"2011","Contaminada sob investigação","N","investigação confirmatória",NA,"infiltração","águas subterrâneas#dentro#","combustíveis líquidos|solventes aromáticos|PAHs",NA,"uso água subterrânea#proposta#|uso água subterrânea#comunicada#",NA,NA,"2013/11/26 14:40:31.238","1008188"
